iter	Passed	Remaining
407	642	931
408	644	930
409	644	927
410	646	925
411	646	922
412	649	922
413	650	921
414	651	918
415	652	915
416	653	913
417	658	916
418	659	914
419	660	912
420	661	909
421	662	907
422	663	904
423	664	902
424	665	900
425	666	897
426	667	895
427	668	893
428	677	902
429	679	900
430	679	897
431	680	894
432	681	892
433	683	891
434	684	888
435	685	886
436	686	883
437	686	881
438	687	878
439	688	876
440	689	874
441	690	871
442	691	869
443	691	866
444	693	864
445	694	862
446	695	860
447	696	857
448	697	855
449	698	853
450	699	851
451	700	849
452	700	846
453	701	843
454	704	843
455	705	841
456	706	839
457	707	836
458	708	834
459	709	833
460	710	830
461	712	830
462	714	828
463	714	825
464	715	823
465	716	821
466	717	819
467	718	817
468	719	814
469	720	812
470	720	809
471	721	807
472	722	804
473	722	802
474	723	799
475	724	797
476	724	794
477	725	792
478	726	790
479	727	787
480	727	785
481	728	782
482	728	780
483	729	777
484	730	776
485	731	773
486	732	771
487	732	768
488	733	766
489	733	763
490	734	761
491	735	759
492	735	756
493	736	754
494	736	751
495	737	749
496	738	747
497	739	745
498	739	742
499	740	740
500	741	738
501	741	735
502	742	733
503	743	731
504	743	728
505	744	726
506	744	724
507	745	721
508	746	719
509	746	717
510	747	715
511	747	712
512	748	710
513	749	708
514	749	706
515	750	704
516	751	701
517	751	699
518	752	697
519	753	695
520	753	693
521	754	690
522	755	688
523	755	686
524	756	684
525	757	682
526	757	680
527	758	678
528	759	676
529	760	674
530	760	671
531	761	669
532	762	667
533	762	665
534	763	663
535	764	661
536	765	659
537	765	657
538	766	655
539	767	653
540	768	651
541	769	649
542	769	647
543	770	645
544	771	643
545	771	641
546	772	639
547	773	637
548	774	635
549	774	633
550	775	631
551	776	630
552	777	628
553	777	626
554	778	624
555	779	622
556	780	620
557	781	618
558	781	616
559	782	614
560	783	613
561	783	610
562	786	610
563	786	608
564	787	606
565	788	604
566	789	602
567	790	601
568	790	599
569	791	597
570	792	595
571	793	593
572	793	591
573	794	589
574	795	587
575	795	585
576	796	583
577	797	582
578	798	580
579	798	578
580	799	576
581	799	574
582	800	572
583	801	570
584	802	568
585	802	567
586	803	565
587	804	563
588	804	561
589	805	559
590	806	558
591	807	556
592	807	554
593	808	552
594	809	550
595	809	548
596	810	547
597	811	545
598	812	543
599	812	541
600	813	540
601	814	538
602	814	536
603	815	534
604	816	533
605	817	531
606	818	529
607	819	528
608	819	526
609	820	524
610	821	522
611	822	521
612	822	519
613	823	517
614	824	516
615	825	514
616	825	512
617	826	511
618	828	510
619	829	508
620	831	507
621	832	505
622	833	504
623	834	502
624	835	501
625	836	499
626	837	498
627	838	496
628	839	495
629	840	493
630	841	492
631	842	490
632	844	489
633	845	487
634	846	486
635	847	485
636	848	483
637	848	481
638	849	480
639	850	478
640	851	477
641	852	475
642	853	473
643	854	472
644	855	470
645	856	469
646	857	467
647	858	466
648	858	464
649	859	462
650	860	461
651	861	459
652	861	457
653	862	456
654	863	454
655	863	453
656	864	451
657	865	449
658	866	448
659	867	446
660	868	445
661	868	443
662	869	442
663	870	440
664	871	438
665	872	437
666	873	436
667	874	434
668	874	432
669	875	431
670	876	429
671	876	428
672	877	426
673	878	424
674	879	423
675	880	421
676	881	420
677	882	418
678	882	417
679	883	415
680	884	414
681	885	412
682	885	411
683	886	409
684	887	408
685	888	406
686	888	404
687	889	403
688	890	401
689	890	400
690	891	398
691	892	397
692	893	395
693	894	394
694	894	392
695	895	391
696	896	389
697	896	388
698	898	386
699	898	385
700	899	383
701	900	382
702	900	380
703	902	379
704	902	377
705	903	376
706	903	374
707	904	373
708	905	371
709	905	370
710	906	368
711	907	367
712	908	365
713	908	364
714	909	362
715	910	361
716	911	359
717	911	358
718	912	356
719	913	355
720	914	353
721	914	352
722	915	350
723	916	349
724	917	347
725	917	346
726	918	344
727	919	343
728	919	342
729	920	340
730	921	339
731	922	337
732	923	336
733	923	334
734	924	333
735	925	331
736	926	330
737	927	329
738	927	327
739	928	326
740	929	324
741	930	323
742	931	322
743	932	320
744	933	319
745	933	317
746	934	316
747	935	315
748	936	313
749	937	312
750	937	310
751	938	309
752	939	308
753	940	306
754	940	305
755	941	303
756	942	302
757	943	301
758	944	299
759	944	298
760	945	296
761	946	295
762	947	294
763	947	292
764	948	291
765	949	290
766	950	288
767	951	287
768	952	285
769	952	284
770	953	283
771	954	281
772	954	280
773	955	279
774	956	277
775	957	276
776	958	274
777	958	273
778	959	272
779	960	270
780	961	269
781	962	268
782	962	266
783	963	265
784	964	264
785	965	262
786	966	261
787	966	260
788	967	258
789	968	257
790	969	256
791	970	254
792	971	253
793	971	252
794	972	250
795	973	249
796	974	248
797	975	246
798	975	245
799	976	244
800	977	242
801	978	241
802	979	240
803	980	238
804	981	237
805	981	236
806	982	235
807	983	233
808	984	232
809	985	231
810	985	229
811	986	228
812	987	227
813	988	225
814	989	224
815	989	223
816	990	221
817	991	220
818	991	219
819	992	217
820	993	216
821	994	215
822	995	214
823	996	212
824	997	211
825	998	210
826	998	208
827	999	207
828	1000	206
829	1001	205
830	1001	203
831	1002	202
832	1003	201
833	1004	199
834	1004	198
835	1005	197
836	1006	195
837	1007	194
838	1008	193
839	1009	192
840	1009	190
841	1010	189
842	1011	188
843	1012	187
844	1013	185
845	1013	184
846	1014	183
847	1015	181
848	1015	180
849	1016	179
850	1017	178
851	1018	176
852	1019	175
853	1019	174
854	1020	173
855	1021	171
856	1021	170
857	1022	169
858	1022	167
859	1023	166
860	1024	165
861	1024	164
862	1025	162
863	1026	161
864	1027	160
865	1027	159
866	1028	157
867	1029	156
868	1030	155
869	1030	154
870	1031	152
871	1032	151
872	1033	150
873	1034	149
874	1035	147
875	1036	146
876	1037	145
877	1038	144
878	1038	142
879	1039	141
880	1040	140
881	1041	139
882	1042	138
883	1043	136
884	1044	135
885	1045	134
886	1045	133
887	1046	132
888	1047	130
889	1048	129
890	1048	128
891	1049	127
892	1050	125
893	1051	124
894	1052	123
895	1052	122
896	1053	120
897	1054	119
898	1055	118
899	1056	117
900	1057	116
901	1058	114
902	1059	113
903	1059	112
904	1061	111
905	1061	110
906	1062	108
907	1063	107
908	1064	106
909	1065	105
910	1065	104
911	1066	102
912	1067	101
913	1068	100
914	1069	99
915	1070	98
916	1071	96
917	1071	95
918	1072	94
919	1073	93
920	1074	92
921	1074	90
922	1075	89
923	1076	88
924	1077	87
925	1077	86
926	1078	84
927	1079	83
928	1080	82
929	1080	81
930	1081	80
931	1082	78
932	1083	77
933	1084	76
934	1084	75
935	1085	74
936	1086	73
937	1087	71
938	1088	70
939	1088	69
940	1089	68
941	1090	67
942	1091	65
943	1091	64
944	1092	63
945	1093	62
946	1094	61
947	1095	60
948	1095	58
949	1096	57
950	1097	56
951	1098	55
952	1099	54
953	1100	53
954	1100	51
955	1101	50
956	1102	49
957	1103	48
958	1104	47
959	1104	46
960	1105	44
961	1106	43
962	1107	42
963	1108	41
964	1108	40
965	1109	39
966	1110	37
967	1110	36
968	1111	35
969	1112	34
970	1113	33
971	1113	32
972	1114	30
973	1115	29
974	1115	28
975	1116	27
976	1117	26
977	1118	25
978	1118	23
979	1119	22
980	1120	21
981	1120	20
982	1121	19
983	1122	18
984	1123	17
985	1123	15
986	1124	14
987	1125	13
988	1126	12
989	1127	11
990	1128	10
991	1128	9
992	1129	7
993	1130	6
994	1131	5
995	1132	4
996	1133	3
997	1133	2
998	1134	1
999	1135	0
